,,,,,,,,,,,,,,,,,,,,,,,,
,Nadeo Map,,TAS Record,vs. RTA,Author(s),Date,Links,,,,,RTA Record,Player,Date,Links,,,Nadeo Set,Total Time,,Time Saved,,,
,,F-1,27.02,-0.40,angry_birds_45,2-Aug-21,,,,,,27.42,crosshairstm,5-Jul-22,,,,,,,,,Monster11_02,1
,,F-2,46.73,-0.58,angry_birds_45,26-Jun-21,,,,,,47.31,crosshairstm,5-Jul-22,,,,,,,,,roaSone,1
,,F-3,11.86,-0.86,igntuL,27-Mar-26,,,,,,12.72,simo_900,20-Jun-20,,,,,,,,,JaV,1
,,F-4,9.01,-4.03,caleb,21-Mar-26,,,,,,13.04,plastosex,18-Oct-24,,,,,,,,,G-Star,1
,,F-5,11.26,-13.07,charlie + Arkes,5-Mar-25,,,,,,24.33,Softie,28-Aug-22,,,,,,,,,Rolli,1
,,F-6,,,,,,,,,,53.47,Almighty Hefest,29-May-20,,,,,,,,,Clonee,1
,,F-7,24.97,-2.97,igntuL,7-Apr-26,,,,,,27.94,SSGmatt,21-May-20,,,,,,,,,DevylTM,1
,,F-8,17.78,-3.57,Rio,29-Apr-26,,,,,,21.35,BajitoTM,18-Jun-20,,,,,,,,,WestTMNF,1
,,F-9,27.64,-9.68,Alex,5-Jan-22,,,,,,37.32,Hardtack :D,30-Jul-21,,,,,,,,,Bonus A-9,1
,,G-0,12.71,-12.74,LittleD3m0,11-Apr-26,,,,,,25.45,Hellcat,5-Oct-24,,,,,,,,,ui-4054,1
,,G-1,50.89,-49.24,MidnightEuphoria,25-Apr-26,,,,,,1:40.13,Monster11_02,19-Feb-21,,,,,,,,,dennis090,1
,,G-2,6.61,-0.03,Q0uut,10-Jan-24,,,,,,6.64,plastosex,11-Sep-23,,,,,,,,,raizz)),1
,,G-3,23.03,-2.83,igntuL,28-Mar-26,,,,,,25.86,bicougnon,13-Jun-21,,,,,,,,,Mawi,1
,,G-4,13.91,-7.30,charlie,24-Feb-24,,,,,,21.21,oli10,31-May-20,,,,,,,,,casper #mot,1
,,G-5,10.67,-0.03,MidnightEuphoria,24-Apr-26,,,,,,10.70,Almighty Hefest,23-May-20,,,,,,,,,JoFo,1
,,G-6,25.76,-27.97,Thoz + LittleD3m0,28-Apr-26,,,,,,53.73,roaSone,6-Jun-20,,,,,,,,,NiteR,1
,,G-7,17.87,-3.15,DELETE_CLUB + dimi + Shweetz + Molosii,17-Apr-22,,,,,,21.02,Hellcat,9-Oct-24,,,,,,,,,dimi,1
,,G-8,10.67,-17.48,Bice,28-Apr-26,,,,,,28.15,Sanchi,28-May-25,,,,,,,,,Shock <3,1
,,G-9,25.93,-2.38,xnferno,4-Mar-26,,,,,,28.31,JaV,2-Jun-20,,,,,,,,,,
,,H-0,34.23,-32.77,Bice,26-Feb-23,,,,,,1:07.00,crosshairstm,16-Apr-21,,,,,,,,,,
,,H-1,31.18,-0.39,angry_birds_45,6-Aug-21,,,,,,31.57,x-ROC Marvin,16-Feb-17,,,,,,,,,,
,,H-2,42.91,-1.45,Bunji,24-May-25,,,,,,44.36,G-Star,15-Jun-20,,,,,,,,,,
,,H-3,4.63,-0.01,Winterly,5-Feb-22,,,,,,4.64,Yiker',22-Jul-23,,,,,,,,,,
,,H-4,45.97,-31.73,ezmTAS,30-Jan-24,,,,,,1:17.70,crosshairstm,5-Jul-22,,,,,,,,,,
,,H-5,47.90,-1.17,GorillaKing + mufattmf + ezmTAS,13-Mar-24,,,,,,49.07,Rolli,29-May-20,,,,,,,,,,
,,H-6,10.16,-2.38,MidnightEuphoria,5-Apr-26,,,,,,12.54,Clonee,3-Jun-20,,,,,,,,,,
,,H-7,37.68,-4.19,angry_birds_45,8-Aug-21,,,,,,41.87,crosshairstm,5-Jul-22,,,,,,,,,,
,,H-8,1:10.16,-17.43,Alex,6-Jan-22,,,,,,1:27.59,complexstatics,11-Sep-21,,,,,,,,,,
,,H-9,1:08.08,-1.65,Shweetz,17-Jul-21,,,,,,1:09.73,DevylTM,13-Mar-24,,,,,,,,,,
,,I-0,38.35,-7.99,mufattmf,15-Oct-23,,,,,,46.34,crosshairstm,3-Aug-22,,,,,,,,,,
,,I-1,,,,,,,,,,51.21,WestTMNF,4-Jun-25,,,,,,,,,,
,,I-2,13.47,-15.32,mufattmf,31-Jan-24,,,,,,28.79,Bonus A-9,17-Oct-22,,,,,,,,,,
,,I-3,9.30,-2.35,Alex,25-Jun-25,,,,,,11.65,ui-4054,10-Jun-20,,,,,,,,,,
,,I-4,25.86,-0.91,Kimura,28-Feb-22,,,,,,26.77,dennis090,21-May-20,,,,,,,,,,
,,I-5,43.81,-1.63,Alex,14-Jul-21,,,,,,45.44,simo_900,28-Apr-21,,,,,,,,,,
,,I-6,10.90,-0.71,caleb,26-Jan-26,,,,,,11.61,Hellcat,2-Jul-22,,,,,,,,,,
,,I-7,,,,,,,,,,1:12.41,complexstatics,28-Feb-21,,,,,,,,,,
,,I-8,21.13,-0.58,Elite Runner,20-Feb-22,,,,,,21.71,talisos,29-May-20,,,,,,,,,,
,,I-9,25.04,-13.03,charlie,25-Jan-25,,,,,,38.07,labaffue,1-Jul-24,,,,,,,,,,
,,Pro A-0,42.46,-2.52,Schmaniol,15-Nov-21,,,,,,44.98,crosshairstm,5-Jul-22,,,,,,,,,,
,,Pro A-1,20.41,-35.01,mufattmf + Bice,20-Mar-26,,,,,,55.42,raizz)),7-Sep-22,,,,,,,,,,
,,Pro A-2,,,,,,,,,,58.84,crosshairstm,3-Aug-22,,,,,,,,,,
,,Pro A-3,54.97,-1.96,Alex + Niro,12-Aug-21,,,,,,56.93,crosshairstm,3-Aug-22,,,,,,,,,,
,,Pro A-4,,,,,,,,,,1:01.46,Mawi,17-Nov-24,,,,,,,,,,
,,Pro A-5,,,,,,,,,,1:04.49,crosshairstm,3-Aug-22,,,,,,,,,,
,,Pro A-6,52.84,-13.00,ezmTAS,16-Mar-25,,,,,,1:05.84,crosshairstm,5-Jul-22,,,,,,,,,,
,,Pro A-7,48.98,-3.52,mufattmf,14-Jul-24,,,,,,52.50,Fwo.Link,13-Jul-24,,,,,,,,,,
,,Pro A-8,33.49,-34.57,Bice,1-Dec-22,,,,,,1:08.06,crosshairstm,5-Jul-22,,,,,,,,,,
,,Pro A-9,1:14.76,0.68,angry_birds_45,26-Jul-21,,,,,,1:14.08,alexx.,2-Aug-23,,,,,,,,,,
,,Bonus A-0,,,,,,,,,,22.02,casper #mot,29-Jun-20,,,,,,,,,,
,,Bonus A-1,31.39,-0.54,angry_birds_45,2-Aug-21,,,,,,31.93,Wave.Ðemon,28-Oct-19,,,,,,,,,,
,,Bonus A-2,,,,,,,,,,23.55,plastosex,22-Oct-24,,,,,,,,,,
,,Bonus A-3,,,,,,,,,,22.78,Sanchi,23-Nov-22,,,,,,,,,,
,,Bonus A-4,,,,,,,,,,23.51,x-ROC Marvin,16-Feb-17,,,,,,,,,,
,,Bonus A-5,25.56,-0.56,angry_birds_45,20-Sep-21,,,,,,26.12,JoFo,10-Dec-22,,,,,,,,,,
,,Bonus A-6,27.22,-0.45,mufattmf,1-Aug-23,,,,,,27.67,NiteR,30-Jul-23,,,,,,,,,,
,,Bonus A-7,,,,,,,,,,25.75,Kukker,1-Mar-21,,,,,,,,,,
,,Bonus A-8,,,,,,,,,,26.29,Kukker,7-Jun-20,,,,,,,,,,
,,Bonus A-9,,,,,,,,,,28.05,Wave.Ðemon,17-Mar-23,,,,,,,,,,
,,Bonus B-0,25.24,-0.57,angry_birds_45,19-Sep-21,,,,,,25.81,crosshairstm,3-Aug-22,,,,,,,,,,
,,Bonus B-1,,,,,,,,,,25.04,Wave.Ðemon,19-Nov-22,,,,,,,,,,
,,Bonus B-2,23.61,-0.32,BdcapTAS,7-Oct-24,,,,,,23.93,|PT| D&A,27-Aug-21,,,,,,,,,,
,,Bonus B-3,18.53,-0.40,dimi,21-Sep-21,,,,,,18.93,dimi,23-May-20,,,,,,,,,,
,,Bonus B-4,25.19,-0.23,angry_birds_45,30-Aug-21,,,,,,25.42,Wave.Ðemon,21-Jul-23,,,,,,,,,,
,,Bonus B-5,,,,,,,,,,24.49,Wave.Ðemon,22-Jul-23,,,,,,,,,,
,,Bonus B-6,,,,,,,,,,25.11,Wave.Ðemon,21-Mar-21,,,,,,,,,,
,,Bonus B-7,25.58,-0.22,Ibozz91 + threadd,13-Jan-25,,,,,,25.80,Shock <3,29-Jan-15,,,,,,,,,,
,,Bonus B-8,24.71,-0.31,angry_birds_45,18-Sep-21,,,,,,25.02,|PT| D&A,27-Aug-21,,,,,,,,,,
,,Bonus B-9,,,,,,,,,,26.39,x-ROC Marvin,16-Feb-17,,,,,,,,,,
