,,,,,,,,,,,,,,,,,,,,,,,,,, ,,
,Nadeo Map,,TAS Record,vs. RTA,Author(s),Date,Links,,,,,RTA Record,Player,Date,Links,,,Nadeo Set,Total Time,,Time Saved,,,,,Top 10 TMNF TAS Savings,,
,,E05,18:29.59,-34:55.55,mufattmf + igntuL + Vogtek + charlie + Jsap + Thoman,17-May-25,,,,,,53:25.14,Wave.Ðemon,30-Dec-25,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,,,,,,,,,,,,,
,No Cut Records are played on the Nadeo No Cut tracks by Nadeo Category Extensions:,,,,,,TMX Pack,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No Cut,,TAS Record,vs. RTA,Author(s),Date,Links,,,,,RTA Record,Player,Date,Links,,,Nadeo Set,Total Time (seconds),,Saved (%),,,,,Unofficial/Real Map,,
,,A02 - No Cut,15.28,-0.25,Thunder + TTR_Mc 77 + CrizpyCheese,3-Sep-25,,,,,,15.53,social,13-Dec-22,,,,,TAS,RTA,Diff,,%,,,15.44 by aLyen,,
,,A05 - No Cut,16.17,-0.26,ComfyIvy + CrizpyCheese + igntuL,28-Mar-26,,,,,,16.43,racehans,5-Sep-24,,,,White,3:55.32,3:57.61,-0:02.29,,0.96,,,RTA,,
,,A06 - No Cut,27.70,-0.18,kram,11-Dec-25,,,,,,27.88,Fwo.Link,16-Oct-25,,,,Green,3:55.42,3:56.07,-0:00.65,,0.28,,,27.88 by racehans,,
,,A08 - No Cut,57.75,-0.14,Thunder,16-Jun-25,,,,,,57.89,»RtA«Katic,4-Jun-21,,,,Blue,4:28.34,4:30.77,-0:02.43,,0.90,,,57.82 by Katic,,
,,A09 - No Cut,24.04,-0.75,ezmTAS + Thunder,22-Aug-25,,,,,,24.79,Trinity,29-Jan-24,,,,Red,9:36.81,9:43.60,-0:06.79,,1.16,,,RTA,,
,,A12 - No Cut,18.53,-0.15,Bice,25-Feb-26,,,,,,18.68,trabadia,23-Mar-24,,,,Black,1:45.13,1:45.13,-0:00.00,,0.00,,,RTA,,
,,A13 - No Cut,30.67,-0.23,Oogy749,22-Dec-25,,,,,,30.90,swa_rxa4,2-Jun-24,,,,Total,23:41.02,23:53.18,-0:12.16,,0.85,,,RTA,,
,,A14 - No Cut,20.99,-0.11,Thunder,22-Aug-25,,,,,,21.10,aest4s,7-Sep-24,,,,,,,,,,,,RTA,,
,,A15 - No Cut,24.19,-0.22,trabadia + Thunder,22-Aug-25,,,,,,24.41,Fwo.Link,6-Sep-24,,,,Author,TASes,Contributions,Time Saved,,Driver,RTA WRs,,RTA,,
,,B02 - No Cut,25.26,-0.12,Bice + BdcapTAS + Thunder,22-Aug-25,,,,,,25.38,racehans,30-Aug-21,,,,Thunder,13,8.00,3.79,,racehans,10,,25.29 by racehans,,
,,B03 - No Cut,25.25,-0.33,Linesight,17-May-24,,,,,,25.58,racehans,30-Aug-21,,,,CrizpyCheese,3,1.17,0.33,,Wave.Ðemon,3,,25.45 by racehans,,
,,B05 - No Cut,25.17,-0.10,trabadia,13-Mar-24,,,,,,25.27,Aynyxamer74,11-Dec-23,,,,kram,3,3.00,0.30,,-,3,,RTA,,
,,B07 - No Cut,28.50,-0.10,Thunder + mufattmf + Thoman,31-Mar-25,,,,,,28.60,Simi TM,20-Apr-22,,,,Linesight,3,3.00,1.75,,social,2,,RTA,,
,,B08 - No Cut,,,,,,,,,,1:29.27,Wave.Ðemon,9-Sep-24,,,,ezmTAS,2,1.00,0.43,,Fwo.Link,2,,RTA,,
,,B12 - No Cut,,,,,,,,,,41.97,NiteR CSGO<3,3-Apr-23,,,,Bice,2,1.33,0.19,,»RtA«Katic,1,,RTA,,
,,C04 - No Cut,37.54,-0.12,ezmTAS + Thunder,22-Aug-25,,,,,,37.66,Schmaniol,3-Sep-21,,,,trabadia,2,1.50,0.21,,Trinity,1,,RTA,,
,,C07 - No Cut,36.97,-0.32,CrizpyCheese + Thunder,22-Aug-25,,,,,,37.29,racehans,30-Aug-21,,,,Virtuoso,2,1.50,0.72,,trabadia,1,,37.05 by racehans,,
,,C09 - No Cut,44.44,-0.51,Virtuoso,12-Nov-21,,,,,,44.95,Virtuoso,11-Mar-24,,,,threadd,2,1.50,2.96,,swa_rxa4,1,,44.92 by KarjeN,,
,,C10 - No Cut,14.10,-0.06,kram,6-Sep-25,,,,,,14.16,racehans,11-Sep-24,,,,TTR_Mc 77,1,0.33,0.08,,aest4s,1,,RTA,,
,,C12 - No Cut,29.01,-1.42,Linesight,17-May-24,,,,,,30.43,Solution,20-Aug-21,,,,ComfyIvy,1,0.33,0.09,,Aynyxamer74,1,,29.65 by Weapon,,
,,C14 - No Cut,,,,,,,,,,1:46.28,Fwo.aest4s,4-Apr-25,,,,igntuL,1,0.33,0.09,,Simi TM,1,,RTA,,
,,D02 - No Cut,46.04,-1.76,casper + Thunder,31-Mar-25,,,,,,47.80,racehans,6-Sep-24,,,,Oogy749,1,1.00,0.23,,NiteR CSGO<3,1,,RTA,,
,,D03 - No Cut,15.25,-0.06,kram,21-May-25,,,,,,15.31,Toadscool,19-Nov-24,,,,BdcapTAS,1,0.33,0.04,,Schmaniol,1,,15.28 by Hefest,,
,,D04 - No Cut,,,,,,,,,,45.08,KarjeN,14-Nov-24,,,,mufattmf,1,0.33,0.03,,Virtuoso,1,,RTA,,
,,D05 - No Cut,1:02.44,0.20,fam.demon,9-Feb-22,,,,,,1:02.24,racehans,7-Sep-24,,,,Thoman,1,0.33,0.03,,Solution,1,,RTA,,
,,D06 - No Cut,56.42,-2.89,threadd,25-May-24,,,,,,59.31,social,13-Dec-22,,,,casper,1,0.50,0.88,,Fwo.aest4s,1,,RTA,,
,,D07 - No Cut,52.31,-1.12,Thunder,9-Dec-25,,,,,,53.43,racehans,1-Sep-21,,,,fam.demon,1,1.00,0.00,,Toadscool,1,,RTA,,
,,D09 - No Cut,41.36,-0.61,Thunder,2-Sep-25,,,,,,41.97,Wave.Ðemon,19-Sep-24,,,,faiby,1,0.50,0.21,,KarjeN,1,,41.59 by trinitymot,,
,,D10 - No Cut,,,,,,,,,,49.38,Wave.Ðemon,11-Jul-22,,,,DELETE_CLUB,1,1.00,0.00,,Yumlunch,1,,RTA,,
,,D11 - No Cut,9.53,-0.42,Virtuoso + faiby,2-May-26,,,,,,9.95,Yumlunch,7-Mar-25,,,,,,,,,Storm!Kukker,1,,RTA,,
,,D12 - No Cut,38.83,-0.13,Thunder + threadd,1-Sep-24,,,,,,38.96,racehans,4-Sep-24,,,,,,,,,,,,38.94 by DarkBringer,,
,,D14 - No Cut,,,,,,,,,,2:39.17,Storm!Kukker,31-Aug-21,,,,,,,,,,,,2:37.62 by Mawi,,
,,D15 - No Cut,,,,,,,,,,-,-,-,,,,,,,,,,,,7:12.49 by racehans,,
,,E02 - No Cut,3:52.81,,DELETE_CLUB,27-Mar-26,,,,,,-,-,-,,,,,,,,,,,,4:00.80 by Mawi,,
,,E03 - No Cut,4:33.49,,Linesight,18-May-24,,,,,,-,-,-,,,,,,,,,,,,4:54.27 by racehans,,
,,E04 - No Cut,,,,,,,,,,1:43.13,racehans,3-Jan-23,,,,,,,,,,,,RTA,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,One Lap Records are played on the True One Lap tracks by Nadeo Category Extensions:,,,,,TMX Pack,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,One Lap,,TAS Record,vs. RTA,Author(s),Date,Links,,,,,RTA Record,Player,Date,Links,,,,,,,,,,,,,
,,A08 - 1 Lap,20.92,-0.93,Molosii + threadd,2-Aug-23,,,,,,21.85,Simi,25-Feb-24,,,,,,,,,,,,,,
,,B08 - 1 Lap,20.30,-1.82,Niro + Kimura,16-Nov-21,,,,,,22.12,Demon,6-Feb-24,,,,,,,,,,,,,,
,,C05 - 1 Lap,43.67,-9.41,threadd + mufattmf + Miku,23-Dec-23,,,,,,53.08,Social,13-Dec-22,,,,,,,,,,,,,,
,,C14 - 1 Lap,20.35,-12.31,mufattmf,3-Feb-22,,,,,,32.66,Oogy749,9-Oct-25,,,,,,,,,,,,,,
,,D01 - 1 Lap,27.68,-3.86,Bice + threadd + Stuntlover,25-Sep-22,,,,,,31.54,Demon,7-Feb-24,,,,,,,,,,,,,,
,,D06 - 1 Lap,16.81,-8.52,gingerroar,11-Sep-23,,,,,,25.33,Alex,4-Feb-24,,?,,,,,,,,,,,,
,,D14 - 1 Lap,38.88,-15.56,Virtuoso,8-Aug-22,,,,,,54.44,Akinator,3-Sep-21,,,,,,,,,,,,,,
,,D15 - 1 Lap,39.85,-3.39,CrizpyCheese,10-Mar-23,,,,,,43.24,destryco,3-Sep-24,,,,,,,,,,,,,,
,,E03 - 1 Lap,1:21.67,-9.30,threadd,19-Jul-23,,,,,,1:30.97,aestas,5-Feb-24,,,,,,,,,,,,,,
,,E05 - 1 Lap,30.69,-23.45,Virtuoso + igntuL + ins + Trinity,22-Sep-21,,,,,,54.14,Lumen,10-Jun-24,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,One Lap No Cut Records are played on the True One Lap No Cut tracks by Nadeo Category Extensions:,,,,,TMX Pack,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,One Lap No Cut,,TAS Record,vs. RTA,Author(s),Date,Links,,,,,RTA Record,Player,Date,Links,,,,,,,,,,,,,
,,A08 - 1L NC,,,,,,,,,,23.94,Katic,4-Jun-21,,,,,,,,,,,,,,
,,C14 - 1L NC,,,,,,,,,,38.68,aestas,4-Jan-21,,,,,,,,,,,,,,
,,D14 - 1L NC,,,,,,,,,,54.29,Mawi,31-Aug-21,,,,,,,,,,,,,,
,,D15 - 1L NC,43.18,-0.98,DarkLink,6-Jun-21,,,,,,44.16,Wirtual,25-Mar-22,,,,,,,,,,,,,,
,,E03 - 1L NC,1:33.23,-1.34,Linesight,18-May-24,,,,,,1:34.57,aestas,17-Aug-21,,,,,,,,,,,,,,
,,E05 - 1L NC,56.57,-0.26,Virtuoso,7-Dec-21,,,,,,56.83,Wave.Ðemon,7-Dec-24,,,,,,,,,,,,,,
